"Data Import Template"
"Table:","Purchase Order"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Purchase Order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Order Item","po_details","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Taxes and Charges","other_charges","","","","","","","","","","~","Purchase Order Item Supplied","po_raw_material_details","","","","","","",""
"Column Labels:","ID","Series","Supplier","Date","Company","Currency","Exchange Rate","Status","Fiscal Year","Name","Buy Back Requisition Ref","warehouse","IMEI No","Colour","Paper Voucher Pin","Amended From","Price List","Price List Currency","Price List Exchange Rate","Ignore Pricing Rule","Net Total (Company Currency)","Net Total","Taxes and Charges","Taxes and Charges Added (Company Currency)","Taxes and Charges Deducted (Company Currency)","Total Tax (Company Currency)","Grand Total (Company Currency)","In Words (Company Currency)","Rounded Total (Company Currency)","Advance Paid","Taxes and Charges Added","Taxes and Charges Deducted","Grand Total","In Words","Terms","Terms and Conditions","Supplier Address","Contact Person","Is Subcontracted","Letter Head","Print Heading","% Received","% Billed","Is Recurring","Recurring Type","From Date","To Date","Repeat on Day of Month","End Date","Next Date","Recurring Id","Notification Email Address","","ID","Item Code","Item Name","Reqd By Date","Description","Quantity","UOM","Stock UOM","UOM Conversion Factor","Rate (Company Currency)","Amount (Company Currency)","Price List Rate","Discount %","Price List Rate (Company Currency)","Rate ","Amount","Pricing Rule","Warehouse","Project Name","Material Request No","Supplier Quotation","Qty as per Stock UOM","Received Qty","Billed Amt","Page Break","","ID","Consider Tax or Charge for","Add or Deduct","Type","Description","Account Head","Reference Row #","Cost Center","Rate","Amount","Total","","ID","Reference Name","BOM Detail No","Item Code","Raw Material Item Code","Required Qty","Rate","Amount","Stock Uom"
"","""PO-BB-00065""","PO-BB-","Slot buy back program","2015-02-19","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00091","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00082""","Black Berry","Black Berry","2015-02-19","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00060""","PO-BB-","Slot buy back program","2015-02-18","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00083","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00077""","Galaxy Grand","Galaxy Grand","2015-02-18","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00064""","PO-BB-","Slot buy back program","2015-02-19","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00090","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00081""","Black Berry","Black Berry","2015-02-19","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Tejal Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00063""","PO-BB-","Slot buy back program","2015-02-18","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00088","Stores - M","","","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00080""","Black Berry","Black Berry","2015-02-18","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00061""","PO-BB-","Slot buy back program","2015-02-18","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00084","Tejal Warehouse - M","123456781212121","red","","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00078""","Galaxy Grand","Galaxy Grand","2015-02-18","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00062""","PO-BB-","Slot buy back program","2015-02-18","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00087","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,200.0,200.0,"",0.0,0.0,0.0,200.0,"NGN Two Hundred only.",200.0,"",0.0,0.0,200.0,"NGN Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00079""","Samsung","Samsung-S2","2015-02-18","Samsung",1.0,"Nos","Nos",1.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00059""","PO-BB-","Slot buy back program","2015-02-18","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00075","Tejal Warehouse - M","123456789555555","ee","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00076""","Black Berry","Black Berry","2015-02-18","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00058""","PO-BB-","Slot buy back program","2015-02-17","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00078","Priya Warehouse - M","123456789111167","redy","","","Standard Buying","NGN",1.0,0,1668.5,1668.5,"",0.0,0.0,0.0,1668.5,"NGN One Thousand, Six Hundred Sixty-Eight and Fifty Kobo only.",1668.0,"",0.0,0.0,1668.5,"NGN One Thousand, Six Hundred Sixty-Eight and Fifty Kobo only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00075""","Galaxy Grand","Galaxy Grand","2015-02-17","Galaxy Grand",1.0,"Nos","Nos",1.0,1668.5,1668.5,16685.0,0.0,16685.0,1668.5,1668.5,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00057""","PO-BB-","Slot buy back program","2015-02-17","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00077","Priya Warehouse - M","123451234512345","white","","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00074""","Galaxy Grand","Galaxy Grand","2015-02-17","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00056""","PO-BB-","Slot buy back program","2015-02-17","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00076","Priya Warehouse - M","123456789923456","pink","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00073""","Black Berry","Black Berry","2015-02-17","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00055""","PO-BB-","Slot buy back program","2015-02-11","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00071","Tejal Warehouse - M","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00072""","Black Berry","Black Berry","2015-02-11","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Tejal Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00053""","PO-BB-","Slot buy back program","2015-02-11","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00068","","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00070""","Black Berry","Black Berry","2015-02-11","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00054""","PO-BB-","Slot buy back program","2015-02-11","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00072","Priya Warehouse - M","123456789111111","white","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00071""","Black Berry","Black Berry","2015-02-11","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00052""","PO-BB-","Slot buy back program","2015-02-10","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00064","Tejal Warehouse - M","123456787911111","red","","","Standard Buying","NGN",1.0,0,1800.0,1800.0,"",0.0,0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.",1800.0,"",0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00069""","Nokia","Nokia","2015-02-10","Nokia",1.0,"Nos","Nos",1.0,1800.0,1800.0,2000.0,0.0,2000.0,1800.0,1800.0,"","Tejal Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00051""","PO-BB-","Slot buy back program","2015-02-10","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00063","Priya Warehouse - M","123456789111111","whilte","","","Standard Buying","NGN",1.0,0,9000.0,9000.0,"",0.0,0.0,0.0,9000.0,"NGN Nine Thousand only.",9000.0,"",0.0,0.0,9000.0,"NGN Nine Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00068""","Black Berry","Black Berry","2015-02-10","Black Berry",1.0,"Nos","Nos",1.0,9000.0,9000.0,45000.0,0.0,45000.0,9000.0,9000.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00050""","PO-BB-","Priya ","2015-02-10","Matrix","NGN",1.0,"Submitted","2015","Priya ","","Priya Warehouse - M","","","","","Standard Buying","NGN",1.0,0,0.0,0.0,"",0.0,0.0,0.0,0.0,"",0.0,"",0.0,0.0,0.0,"","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00067""","HTC","HTC","2015-02-11","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/files/htc.jpg"" width=""100px""></td><td>HTC</td></tr></table>",1.0,"Nos","Nos",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","Priya Warehouse - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00049""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00058","","","","","","Standard Buying","NGN",1.0,0,1800.0,1800.0,"",0.0,0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.",1800.0,"",0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00066""","Nokia","Nokia","2015-02-09","Nokia",1.0,"Nos","Nos",1.0,1800.0,1800.0,2000.0,0.0,2000.0,1800.0,1800.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00046""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00043","","123456789111111","Red","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00063""","Black Berry","Black Berry","2015-02-09","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00048""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00059","","","","","","Standard Buying","NGN",1.0,0,400.0,400.0,"",0.0,0.0,0.0,400.0,"NGN Four Hundred only.",400.0,"",0.0,0.0,400.0,"NGN Four Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00065""","Nokia","Nokia","2015-02-09","Nokia",1.0,"Nos","Nos",1.0,400.0,400.0,2000.0,0.0,2000.0,400.0,400.0,"","Priya Warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00047""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00057","","123456789111111","white","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00064""","Black Berry","Black Berry","2015-02-09","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00044""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00054","","","","","","Standard Buying","NGN",1.0,0,840.0,840.0,"",0.0,0.0,0.0,840.0,"NGN Eight Hundred Forty only.",840.0,"",0.0,0.0,840.0,"NGN Eight Hundred Forty only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00061""","Black Berry","Black Berry","2015-02-09","Black Berry",1.0,"Nos","Nos",1.0,840.0,840.0,45000.0,0.0,45000.0,840.0,840.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00045""","PO-BB-","Slot buy back program","2015-02-09","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00044","","123456789111111","","","","Standard Buying","NGN",1.0,0,450000.0,450000.0,"",0.0,0.0,0.0,450000.0,"NGN Four Hundred Fifty Thousand only.",450000.0,"",0.0,0.0,450000.0,"NGN Four Hundred Fifty Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00062""","Black Berry","Black Berry","2015-02-09","Black Berry",1.0,"Nos","Nos",1.0,450000.0,450000.0,45000.0,0.0,45000.0,450000.0,450000.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00043""","PO-BB-","Slot buy back program","2015-02-06","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00056","","","","","","Standard Buying","NGN",1.0,0,1800.0,1800.0,"",0.0,0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.",1800.0,"",0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00060""","Nokia","Nokia","2015-02-06","Nokia",1.0,"Nos","Nos",1.0,1800.0,1800.0,2000.0,0.0,2000.0,1800.0,1800.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00003""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","","","","","","","Standard Buying","NGN",1.0,0,3000.0,3000.0,"",0.0,0.0,0.0,3000.0,"NGN Three Thousand only.",3000.0,"",0.0,0.0,3000.0,"NGN Three Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00019""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,3000.0,3000.0,0.0,0.0,0.0,3000.0,3000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00002""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","","","","","","","Standard Buying","NGN",1.0,0,40.0,40.0,"",0.0,0.0,0.0,40.0,"NGN Forty only.",40.0,"",0.0,0.0,40.0,"NGN Forty only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00017""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,40.0,40.0,0.0,0.0,0.0,40.0,40.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00001""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","","","","","","","Standard Buying","NGN",1.0,0,40.0,40.0,"",0.0,0.0,0.0,40.0,"NGN Forty only.",40.0,"",0.0,0.0,40.0,"NGN Forty only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00016""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,40.0,40.0,0.0,0.0,0.0,40.0,40.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00041""","PO-BB-","Slot buy back program","2015-02-05","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00045","","","","","","Standard Buying","NGN",1.0,0,1800.0,1800.0,"",0.0,0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.",1800.0,"",0.0,0.0,1800.0,"NGN One Thousand, Eight Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00058""","Nokia","Nokia","2015-02-05","Nokia",1.0,"Nos","Nos",1.0,1800.0,1800.0,2000.0,0.0,2000.0,1800.0,1800.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00040""","PO-BB-","Slot buy back program","2015-02-05","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00052","","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00057""","Black Berry","Black Berry","2015-02-05","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00042""","PO-BB-","Slot buy back program","2015-02-05","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00055","","","","","","Standard Buying","NGN",1.0,0,9000.0,9000.0,"",0.0,0.0,0.0,9000.0,"NGN Nine Thousand only.",9000.0,"",0.0,0.0,9000.0,"NGN Nine Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00059""","Black Berry","Black Berry","2015-02-05","Black Berry",1.0,"Nos","Nos",1.0,9000.0,9000.0,45000.0,0.0,45000.0,9000.0,9000.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00038""","PO-BB-","Slot buy back program","2015-02-05","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00047","","","","","","Standard Buying","NGN",1.0,0,700.0,700.0,"",0.0,0.0,0.0,700.0,"NGN Seven Hundred only.",700.0,"",0.0,0.0,700.0,"NGN Seven Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00055""","Black Berry","Black Berry","2015-02-05","Black Berry",1.0,"Nos","Nos",1.0,700.0,700.0,45000.0,0.0,45000.0,700.0,700.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00039""","PO-BB-","Slot buy back program","2015-02-05","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00042","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00056""","Samsung","Samsung-S2","2015-02-05","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00036""","PO-BB-","Slot buy back program","2015-02-04","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00050","","","","","","Standard Buying","NGN",1.0,0,9000.0,9000.0,"",0.0,0.0,0.0,9000.0,"NGN Nine Thousand only.",9000.0,"",0.0,0.0,9000.0,"NGN Nine Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00053""","Black Berry","Black Berry","2015-02-04","Black Berry",1.0,"Nos","Nos",1.0,9000.0,9000.0,45000.0,0.0,45000.0,9000.0,9000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00035""","PO-BB-","Slot buy back program","2015-02-04","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00049","","","","","","Standard Buying","NGN",1.0,0,30000.0,30000.0,"",0.0,0.0,0.0,30000.0,"NGN Thirty Thousand only.",30000.0,"",0.0,0.0,30000.0,"NGN Thirty Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00052""","Black Berry","Black Berry","2015-02-04","Black Berry",1.0,"Nos","Nos",1.0,30000.0,30000.0,45000.0,0.0,45000.0,30000.0,30000.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00033""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00041","","","","","","Standard Buying","NGN",1.0,0,25000.0,25000.0,"",0.0,0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.",25000.0,"",0.0,0.0,25000.0,"NGN Twenty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00050""","Samsung","Samsung-S2","2015-02-03","Samsung",1.0,"Nos","Nos",1.0,25000.0,25000.0,200.0,0.0,200.0,25000.0,25000.0,"","Finished Goods - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00004""","PO-BB-","Slot buy back program","2015-01-30","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00006","","","","","","Standard Buying","NGN",1.0,0,500.0,500.0,"",0.0,0.0,0.0,500.0,"NGN Five Hundred only.",500.0,"",0.0,0.0,500.0,"NGN Five Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00021""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00037""","PO-BB-","Slot buy back program","2015-02-04","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00051","","","","","","Standard Buying","NGN",1.0,0,40500.0,40500.0,"",0.0,0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.",40500.0,"",0.0,0.0,40500.0,"NGN Forty Thousand, Five Hundred only.","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00054""","Black Berry","Black Berry","2015-02-04","Black Berry",1.0,"Nos","Nos",1.0,40500.0,40500.0,45000.0,0.0,45000.0,40500.0,40500.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00034""","PO-BB-","Slot buy back program","2015-02-03","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00037","","","","","","Standard Buying","NGN",1.0,0,1200.0,1200.0,"",0.0,0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.",1200.0,"",0.0,0.0,1200.0,"NGN One Thousand, Two Hundred only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00051""","Nokia","Nokia","2015-02-03","Nokia",1.0,"Nos","Nos",1.0,1200.0,1200.0,2000.0,0.0,2000.0,1200.0,1200.0,"","Stores - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
